pairID	nwk1	nwk2	class1	class2	class_pair	sum_overlap	TreeDistance	NyeSimilarity	MatchingSplitDistance	KendallColijn	MASTSize	year	year2	order	rank	sum_loci	morph_chars	rank_numeric	loci_diff	exact_prop	prop_overlap	class.pair2
pairID2500	RochaNessimian2025Ochrotrichiinae2.nwk	ThomsonFrandsen2022Hydroptilidae.nwk	C	O	NA	7	0	4	0	0	7	2025	2022	Other	family	305	109	3	-295	1	0.378531073446328	NA
pairID2501	RodriguezPitts2016Pompilinae.nwk	WaichertRodriguez2015Pompilidae.nwk	G	G	GG	29	0.301260760855289	18.7394586894587	46	24.7790233867277	18	2016	2015	Hymenoptera	family	9	0	3	1	0.827586206896552	0.453237410071942	NA
pairID2502	RomiguierBorowiec2022Formicidae.nwk	Schmidt2013Ponerinae.nwk	O	G	GO	31	0.157514150404877	23.8055555555556	23	22.9128784747792	24	2022	2013	Hymenoptera	infraorder	4419	0	5	4411	0.354838709677419	0.410810810810811	NA
pairID2503	RomiguierBorowiec2022Formicidae.nwk	Ward2015Myrmicinae.nwk	O	G	GO	23	0.27753216478587	14.7376623376623	27	13.076696830622	16	2022	2015	Hymenoptera	family	4426	0	3	4404	0.347826086956522	0.257627118644068	NA
pairID2504	RomiguierBorowiec2022Formicidae.nwk	WardFisher2016Amblyoponinae.nwk	O	G	GO	18	0.165780385008939	13.2166666666667	9	10.2469507659596	15	2022	2016	Hymenoptera	infraorder	4426	0	5	4404	0.388888888888889	0.638655462184874	NA
pairID2505	RomiguierBorowiec2022Formicidae.nwk	ZhangLi2022Formicidae.nwk	O	M	MO	20	0.400928327671856	11.4107206518971	28	15.52417469626	11	2022	2022	Hymenoptera	infraorder	4428	0	5	4402	0.5	0.660869565217391	NA
pairID2507	Ronka2016Arctiina.nwk	Zaspel2014Arctiinae.nwk	G	G	GG	18	0.0724784171768539	14.125	7	7.48331477354788	17	2016	2014	Lepidoptera	subfamily	17	0	3	-1	0.777777777777778	0.575949367088608	NA
pairID2508	Ronka2016Arctiina.nwk	ZenkerWahlberg2017Arctiinae.nwk	G	G	GG	19	0.112381082064438	14.9464285714286	8	6.48074069840786	16	2016	2017	Lepidoptera	subfamily	16	0	3	0	0.842105263157895	0.285266457680251	NA
pairID2510	Rossini2022Epactoidini4.nwk	TarasovDimitrov2016Scarabaeinae.nwk	C	G	CG	21	0.222017701831483	15.269696969697	19	12.2065556157337	14	2022	2016	Coleoptera	subfamily	15	103	3	-1	0.952380952380952	0.18348623853211	NA
pairID2511	RousseQuicke2016Ophioninae.nwk	SchwarzfeldBroad2016Ophion.nwk	C	G	CG	13	0.208278565963134	5	3	5.74456264653803	6	2016	2016	Hymenoptera	subfamily	5	62	3	-1	0.538461538461538	0.551724137931034	NA
pairID2512	SaenzManchola2021Psocomorpha.nwk	SaenzManchola2022Psocomorpha.nwk	M	O	MO	27	0.23923604139686	20.1526515151515	35	21.8403296678416	18	2021	2022	Other	order	2094	0	6	-2068	0.407407407407407	0.492537313432836	NA
pairID2513	SaenzManchola2021Psocomorpha.nwk	SaenzManchola2023Lachesillidae.nwk	M	O	MO	25	0.240585831044563	18.2638888888889	31	18.7882942280559	14	2021	2023	Other	order	2073	0	6	-2047	0.48	0.532258064516129	NA
pairID2514	SaenzManchola2022Psocomorpha.nwk	SaenzManchola2023Lachesillidae.nwk	O	O	OO	33	0.124968170326376	27.1017543859649	21	15.556349186104	25	2022	2023	Other	order	4141	0	6	21	1	0.854545454545454	TR.TR
pairID2515	SaenzManchola2022Psocomorpha.nwk	YoshizawaJohnson2014Psocomorpha.nwk	O	G	GO	30	0.277380594313894	20.5654220779221	40	17.9722007556114	19	2022	2014	Other	suborder	2085	0	5	2077	0.6	0.358778625954198	NA
pairID2516	SaenzManchola2022Psocomorpha.nwk	YoshizawaMarusik2020Psocomorpha.nwk	O	G	GO	11	0.540764279033746	4.91666666666667	13	10.295630140987	5	2022	2020	Other	infraorder	2085	0	5	2077	0.727272727272727	0.824561403508772	NA
pairID2517	SaenzManchola2022Psocomorpha.nwk	YoshizawaMockford2014Caeciliusetae.nwk	O	G	GO	16	0.415681693049869	9.18003663003663	24	15.9373774505092	10	2022	2014	Other	suborder	2085	0	5	2077	0.75	0.635135135135135	NA
pairID2518	SaenzManchola2022Psocomorpha.nwk	deMoya2021Psocodea.nwk	O	O	OO	24	0.224627668302405	16.297619047619	19	7.68114574786861	17	2022	2021	Other	order	4451	0	6	-289	0.958333333333333	0.379032258064516	TR.TR
pairID2519	SaenzManchola2023Lachesillidae.nwk	YoshizawaJohnson2014Psocomorpha.nwk	O	G	GO	26	0.34682081532104	17.1170321637427	52	28.8790581563873	16	2023	2014	Other	suborder	2064	0	5	2056	0.692307692307692	0.333333333333333	NA
pairID2520	SaenzManchola2023Lachesillidae.nwk	YoshizawaMarusik2020Psocomorpha.nwk	O	G	GO	12	0.556901384428935	5.20555555555556	17	11.4455231422596	6	2023	2020	Other	infraorder	2064	0	5	2056	0.75	0.823529411764706	NA
pairID2521	SaenzManchola2023Lachesillidae.nwk	YoshizawaMockford2014Caeciliusetae.nwk	O	G	GO	20	0.30313001068042	13.4047619047619	26	20.3960780543711	13	2023	2014	Other	suborder	2064	0	5	2056	0.75	0.636363636363636	NA
pairID2522	SaenzManchola2023Lachesillidae.nwk	deMoya2021Psocodea.nwk	O	O	OO	20	0.402655966645815	11.7100954600955	32	16.4620776331543	12	2023	2021	Other	suborder	4430	0	5	-310	0.95	0.341463414634146	TR.TR
pairID2523	SallumSchultz2002Anophelinae.nwk	daSilva2020Culicidae.nwk	G	M	GM	16	0.183767954186431	11.35	9	10.295630140987	12	2002	2020	Diptera	family	19	0	3	-7	0.8125	0.313725490196078	NA
pairID2524	SamacaSaenz2016Doryctinae.nwk	ZaldivarRiveron2008Doryctinae.nwk	G	G	GG	25	0.481317435947702	14.8707665369733	65	62.1288982680363	10	2016	2008	Hymenoptera	family	5	0	3	1	0.56	0.366071428571429	NA
pairID2525	SanchisLatorre2000Aphidiinae.nwk	ShiChen2005Aphidiinae.nwk	B	G	NA	16	0.303416261151794	9.32738095238095	16	10.3923048454133	12	2000	2005	Hymenoptera	subfamily	4	0	3	-2	1	0.923076923076923	NA
pairID2526	SanchisLatorre2000Aphidiinae.nwk	ShiChen2005Braconidae.nwk	B	C	NA	7	0.514401820125203	1.91666666666667	4	4.35889894354067	4	2000	2005	Hymenoptera	subfamily	4	96	3	-2	1	0.310344827586207	NA
